k1	b	title_boost	NDCG@10	NDCG@100	MAP@10	MAP@100	Recall@10	Recall@100	P@10	P@100
0.8	0.55	1	0.65128	0.67772	0.60814	0.61471	0.76733	0.87972	0.08433	0.00987
0.8	0.65	1	0.64986	0.67645	0.60619	0.61287	0.76733	0.87972	0.08433	0.00987
0.8	0.75	1	0.65507	0.67989	0.61118	0.61736	0.77400	0.87972	0.08500	0.00987
0.8	0.85	1	0.65830	0.68260	0.61500	0.62091	0.77567	0.87972	0.08533	0.00987
0.8	0.95	1	0.66005	0.68426	0.61751	0.62336	0.77567	0.87972	0.08533	0.00987
0.85	0.55	1	0.65185	0.67731	0.60797	0.61417	0.77067	0.87972	0.08467	0.00987
0.85	0.65	1	0.65126	0.67690	0.60708	0.61344	0.77067	0.87972	0.08467	0.00987
0.85	0.75	1	0.65476	0.67847	0.61029	0.61609	0.77567	0.87639	0.08533	0.00983
0.85	0.85	1	0.65702	0.68216	0.61430	0.62043	0.77233	0.87972	0.08500	0.00987
0.85	0.95	1	0.66321	0.68649	0.62077	0.62629	0.77900	0.87972	0.08567	0.00987
0.9	0.55	1	0.65372	0.67918	0.61043	0.61661	0.77067	0.87972	0.08467	0.00987
0.9	0.65	1	0.65130	0.67784	0.60816	0.61481	0.76733	0.87972	0.08433	0.00987
0.9	0.75	1	0.65255	0.67711	0.60824	0.61428	0.77233	0.87639	0.08500	0.00983
0.9	0.85	1	0.65607	0.68111	0.61300	0.61905	0.77233	0.87972	0.08500	0.00987
0.9	0.95	1	0.66449	0.68682	0.62143	0.62662	0.78233	0.87972	0.08600	0.00987
0.95	0.55	1	0.65475	0.68115	0.61291	0.61939	0.76733	0.87972	0.08433	0.00987
0.95	0.65	1	0.65108	0.67618	0.60687	0.61318	0.77067	0.87639	0.08467	0.00983
0.95	0.75	1	0.65240	0.67699	0.60811	0.61415	0.77233	0.87639	0.08500	0.00983
0.95	0.85	1	0.65689	0.68052	0.61318	0.61890	0.77567	0.87639	0.08533	0.00983
0.95	0.95	1	0.66563	0.68801	0.62297	0.62822	0.78233	0.87972	0.08600	0.00987
1.2	0.55	1	0.65238	0.67552	0.60706	0.61262	0.77733	0.87639	0.08533	0.00983
1.2	0.65	1	0.65528	0.67863	0.61079	0.61654	0.77733	0.87639	0.08533	0.00983
1.2	0.75	1	0.65485	0.67779	0.60963	0.61521	0.77900	0.87639	0.08567	0.00983
1.2	0.85	1	0.65830	0.68272	0.61532	0.62128	0.77567	0.87972	0.08533	0.00987
1.2	0.95	1	0.66010	0.68363	0.61655	0.62226	0.77900	0.87972	0.08567	0.00987
1.3	0.55	1	0.65108	0.67369	0.60531	0.61081	0.77733	0.87306	0.08533	0.00980
1.3	0.65	1	0.65409	0.67697	0.60917	0.61491	0.77733	0.87306	0.08533	0.00980
1.3	0.75	1	0.65582	0.67881	0.61085	0.61646	0.77900	0.87639	0.08567	0.00983
1.3	0.85	1	0.65709	0.68063	0.61260	0.61829	0.77900	0.87972	0.08567	0.00987
1.3	0.95	1	0.65850	0.68211	0.61437	0.62014	0.77900	0.87972	0.08567	0.00987
0.8	0.55	2	0.65848	0.68339	0.61643	0.62235	0.77233	0.87972	0.08500	0.00987
0.8	0.65	2	0.65835	0.68335	0.61618	0.62218	0.77233	0.87972	0.08500	0.00987
0.8	0.75	2	0.65905	0.68315	0.61605	0.62179	0.77567	0.87972	0.08533	0.00987
0.8	0.85	2	0.65600	0.68123	0.61285	0.61906	0.77233	0.87972	0.08500	0.00987
0.8	0.95	2	0.65734	0.68168	0.61379	0.61972	0.77567	0.87972	0.08533	0.00987
0.85	0.55	2	0.65916	0.68317	0.61638	0.62202	0.77567	0.87972	0.08533	0.00987
0.85	0.65	2	0.65920	0.68333	0.61645	0.62218	0.77567	0.87972	0.08533	0.00987
0.85	0.75	2	0.65645	0.68155	0.61358	0.61967	0.77233	0.87972	0.08500	0.00987
0.85	0.85	2	0.65649	0.68167	0.61356	0.61970	0.77233	0.87972	0.08500	0.00987
0.85	0.95	2	0.65952	0.68294	0.61577	0.62139	0.77900	0.87972	0.08567	0.00987
0.9	0.55	2	0.65820	0.68312	0.61604	0.62197	0.77233	0.87972	0.08500	0.00987
0.9	0.65	2	0.65932	0.68479	0.61761	0.62361	0.77233	0.88306	0.08500	0.00990
0.9	0.75	2	0.65560	0.68066	0.61238	0.61841	0.77233	0.87972	0.08500	0.00987
0.9	0.85	2	0.65855	0.68372	0.61644	0.62256	0.77233	0.87972	0.08500	0.00987
0.9	0.95	2	0.65966	0.68308	0.61588	0.62149	0.77900	0.87972	0.08567	0.00987
0.95	0.55	2	0.65861	0.68259	0.61575	0.62136	0.77567	0.87972	0.08533	0.00987
0.95	0.65	2	0.65790	0.68333	0.61563	0.62159	0.77233	0.88306	0.08500	0.00990
0.95	0.75	2	0.65660	0.68159	0.61377	0.61974	0.77233	0.87972	0.08500	0.00987
0.95	0.85	2	0.65822	0.68235	0.61502	0.62074	0.77567	0.87972	0.08533	0.00987
0.95	0.95	2	0.65980	0.68321	0.61590	0.62150	0.77900	0.87972	0.08567	0.00987
1.2	0.55	2	0.65614	0.68073	0.61227	0.61797	0.77567	0.88306	0.08533	0.00990
1.2	0.65	2	0.66050	0.68375	0.61713	0.62256	0.77900	0.87972	0.08567	0.00987
1.2	0.75	2	0.65869	0.68305	0.61569	0.62157	0.77567	0.87972	0.08533	0.00987
1.2	0.85	2	0.65782	0.68324	0.61527	0.62155	0.77233	0.87972	0.08500	0.00987
1.2	0.95	2	0.65737	0.68281	0.61457	0.62088	0.77233	0.87972	0.08500	0.00987
1.3	0.55	2	0.65705	0.68030	0.61266	0.61810	0.77900	0.87972	0.08567	0.00987
1.3	0.65	2	0.65806	0.68230	0.61485	0.62063	0.77567	0.87972	0.08533	0.00987
1.3	0.75	2	0.65828	0.68269	0.61515	0.62107	0.77567	0.87972	0.08533	0.00987
1.3	0.85	2	0.65908	0.68452	0.61683	0.62312	0.77233	0.87972	0.08500	0.00987
1.3	0.95	2	0.65793	0.68338	0.61527	0.62157	0.77233	0.87972	0.08500	0.00987
0.8	0.55	3	0.65920	0.68448	0.61724	0.62312	0.77233	0.88306	0.08500	0.00990
0.8	0.65	3	0.65950	0.68503	0.61774	0.62381	0.77233	0.88306	0.08500	0.00990
0.8	0.75	3	0.65858	0.68350	0.61647	0.62242	0.77233	0.87972	0.08500	0.00987
0.8	0.85	3	0.65536	0.68044	0.61198	0.61806	0.77233	0.87972	0.08500	0.00987
0.8	0.95	3	0.65845	0.68268	0.61509	0.62094	0.77567	0.87972	0.08533	0.00987
0.85	0.55	3	0.65772	0.68307	0.61541	0.62133	0.77233	0.88306	0.08500	0.00990
0.85	0.65	3	0.65932	0.68483	0.61749	0.62351	0.77233	0.88306	0.08500	0.00990
0.85	0.75	3	0.65518	0.68022	0.61171	0.61773	0.77233	0.87972	0.08500	0.00987
0.85	0.85	3	0.65614	0.68129	0.61295	0.61907	0.77233	0.87972	0.08500	0.00987
0.85	0.95	3	0.65984	0.68412	0.61699	0.62285	0.77567	0.87972	0.08533	0.00987
0.9	0.55	3	0.65660	0.68293	0.61489	0.62113	0.76900	0.88306	0.08467	0.00990
0.9	0.65	3	0.65616	0.68172	0.61307	0.61912	0.77233	0.88306	0.08500	0.00990
0.9	0.75	3	0.65638	0.68136	0.61332	0.61927	0.77233	0.87972	0.08500	0.00987
0.9	0.85	3	0.65735	0.68246	0.61464	0.62070	0.77233	0.87972	0.08500	0.00987
0.9	0.95	3	0.66031	0.68465	0.61754	0.62344	0.77567	0.87972	0.08533	0.00987
0.95	0.55	3	0.65754	0.68298	0.61500	0.62096	0.77233	0.88306	0.08500	0.00990
0.95	0.65	3	0.65583	0.68136	0.61264	0.61867	0.77233	0.88306	0.08500	0.00990
0.95	0.75	3	0.65840	0.68345	0.61621	0.62223	0.77233	0.87972	0.08500	0.00987
0.95	0.85	3	0.65638	0.68152	0.61341	0.61949	0.77233	0.87972	0.08500	0.00987
0.95	0.95	3	0.66024	0.68412	0.61660	0.62218	0.77900	0.88306	0.08567	0.00990
1.2	0.55	3	0.65587	0.68043	0.61207	0.61776	0.77567	0.88306	0.08533	0.00990
1.2	0.65	3	0.65683	0.68151	0.61338	0.61914	0.77567	0.88306	0.08533	0.00990
1.2	0.75	3	0.65787	0.68362	0.61551	0.62168	0.77233	0.88306	0.08500	0.00990
1.2	0.85	3	0.65899	0.68477	0.61685	0.62304	0.77233	0.88306	0.08500	0.00990
1.2	0.95	3	0.65941	0.68531	0.61724	0.62352	0.77233	0.88306	0.08500	0.00990
1.3	0.55	3	0.65578	0.68038	0.61200	0.61771	0.77567	0.88306	0.08533	0.00990
1.3	0.65	3	0.65646	0.68209	0.61382	0.61990	0.77233	0.88306	0.08500	0.00990
1.3	0.75	3	0.65976	0.68463	0.61714	0.62302	0.77567	0.88306	0.08533	0.00990
1.3	0.85	3	0.66046	0.68631	0.61872	0.62494	0.77233	0.88306	0.08500	0.00990
1.3	0.95	3	0.66128	0.68727	0.61968	0.62602	0.77233	0.88306	0.08500	0.00990
